P8010116.402528
GADANKI 01/01/1980 16:39:25 01/01/1980 16:40:25 0350 0079.2 0013.4 00
0000000 0020 0001200 0020 05
1 0 2 02000 1 0000 0030 00532.o 0 0 00 000 14 001200 0.100 BT0
1 1 2 02000 1 0000 0030 00532.o 0 0 00 000 00 001200 0.0000 BC0
1 0 2 02000 1 0000 0030 00532.p 0 0 00 000 14 001200 0.100 BT1
1 1 2 02000 1 0000 0030 00532.p 0 0 00 000 00 001200 0.0000 BC1
1 0 2 02000 1 0000 0030 01064.o 0 0 00 000 14 001200 0.100 BT2
532.000 .o analog 0 	532.000 .o photon 0 	532.000 .p analog 1 	532.000 .p photon 1 	1064.000 .o analog 2 
 19.2685	110.0292	 11.8852	 90.5375	  1.8084
 20.4565	148.9542	 12.2752	123.6583	  1.8093
 96.9286	144.8167	 57.9926	121.6958	  1.8097
 99.9752	142.3583	 29.4227	121.1167	  1.8088
 92.2259	140.0292	 25.2247	120.1458	  1.8094
 65.4562	137.7458	 20.7089	119.2833	  1.8086
 49.3221	136.7375	 17.7763	118.8750	  1.8090
 39.8207	135.7708	 15.9731	118.1333	  1.8095
 33.8442	133.7792	 14.8281	117.5792	  1.8095
 30.0484	134.3500	 14.0952	118.4417	  1.8092
 27.4614	133.4958	 13.5909	117.9875	  1.8090
 25.6695	132.7833	 13.2510	117.7792	  1.8098
 24.3792	133.2292	 12.9692	117.7583	  1.8096
 23.3947	132.7583	 12.7757	117.4583	  1.8093
 22.6811	132.6833	 12.6231	116.9583	  1.8093
 22.1189	131.8542	 12.4999	117.7458	  1.8089
 21.6735	131.9583	 12.4074	117.3500	  1.8095
 21.3222	132.3500	 12.3580	117.2667	  1.8089
 21.0228	132.1458	 12.2583	117.4167	  1.8093
 20.7589	132.2042	 12.2316	117.0750	  1.8094
 20.5807	131.8292	 12.1738	117.1000	  1.8097
 20.4099	131.2583	 12.1310	117.0167	  1.8093
 20.2747	132.3583	 12.1005	117.1792	  1.8094
 20.1476	131.3917	 12.0772	116.8958	  1.8100
 20.0412	131.6000	 12.0531	116.4792	  1.8094
 19.9702	131.5875	 12.0374	117.2542	  1.8095
 19.8716	131.6542	 12.0222	116.7917	  1.8098
 19.8199	131.6042	 12.0100	116.3458	  1.8092
 19.7369	131.0042	 11.9896	117.1417	  1.8095
 19.7081	131.2417	 11.9907	117.0458	  1.8087
 19.6731	131.9333	 11.9752	117.5167	  1.8098
 19.6227	131.2250	 11.9590	116.9833	  1.8093
 19.5888	132.1833	 11.9556	117.3500	  1.8088
 19.5597	131.3417	 11.9567	116.9750	  1.8096
 19.5336	131.8167	 11.9548	117.0750	  1.8099
 19.4935	130.9417	 11.9201	117.0208	  1.8093
 19.4751	131.5833	 11.9420	116.9375	  1.8095
 19.4303	131.5417	 11.9029	116.8417	  1.8096
 19.3951	131.6458	 11.9019	116.6208	  1.8096
 19.3691	130.8792	 11.9153	116.8125	  1.8097
 19.3543	131.2083	 11.9075	116.7208	  1.8095
 19.3397	130.9500	 11.8961	116.5250	  1.8093
 19.3233	131.4667	 11.9018	117.0083	  1.8095
 19.2920	131.2875	 11.9009	116.5667	  1.8094
 19.3053	131.7625	 11.8990	117.3458	  1.8091
 19.2874	131.9542	 11.8953	117.3542	  1.8093
 19.2503	131.4250	 11.8876	117.3000	  1.8098
 19.2854	130.8375	 11.8784	117.2125	  1.8097
 19.3043	131.5208	 11.8841	117.0833	  1.8097
 19.2775	131.3208	 11.8771	116.3875	  1.8097
 19.2660	131.3167	 11.8831	117.1167	  1.8094
 19.2674	131.2000	 11.8854	116.4250	  1.8099
 19.2791	131.5250	 11.8751	117.6042	  1.8093
 19.2638	131.8000	 11.8915	116.9458	  1.8094
 19.2455	131.6083	 11.8789	116.8750	  1.8098
 19.2766	131.4542	 11.8904	117.2042	  1.8097
 19.2568	130.7167	 11.8734	116.9083	  1.8095
 19.2349	131.3958	 11.8726	117.5042	  1.8094
 19.2807	131.1125	 11.8698	116.8458	  1.8091
 19.2528	131.5583	 11.8768	117.1458	  1.8092
 19.2461	131.2625	 11.8715	116.6333	  1.8093
 19.2356	131.5000	 11.8693	116.4625	  1.8091
 19.2304	130.6583	 11.8836	116.4833	  1.8092
 19.2501	131.5208	 11.8803	116.5333	  1.8097
 19.2463	131.4500	 11.8683	116.7708	  1.8095
 19.2567	131.2750	 11.8843	117.3917	  1.8092
 19.2372	130.6958	 11.8855	116.9167	  1.8089
 19.2555	130.7542	 11.8660	117.1000	  1.8094
 19.2368	131.4042	 11.8890	117.2083	  1.8096
 19.2256	131.0708	 11.8719	117.0083	  1.8094
 19.2436	131.1375	 11.8839	116.7708	  1.8093
 19.2642	131.1625	 11.8835	116.6167	  1.8090
 19.2301	131.2917	 11.8619	116.9042	  1.8097
 19.2288	131.0708	 11.8748	116.5000	  1.8094
 19.2356	131.0667	 11.8849	116.4583	  1.8091
 19.2473	131.0500	 11.8624	116.3250	  1.8095
