P8010116.482933
GADANKI 01/01/1980 16:47:29 01/01/1980 16:48:29 0350 0079.2 0013.4 00
0000000 0020 0001200 0020 05
1 0 2 02000 1 0000 0030 00532.o 0 0 00 000 14 001200 0.100 BT0
1 1 2 02000 1 0000 0030 00532.o 0 0 00 000 00 001200 0.0000 BC0
1 0 2 02000 1 0000 0030 00532.p 0 0 00 000 14 001200 0.100 BT1
1 1 2 02000 1 0000 0030 00532.p 0 0 00 000 00 001200 0.0000 BC1
1 0 2 02000 1 0000 0030 01064.o 0 0 00 000 14 001200 0.100 BT2
532.000 .o analog 0 	532.000 .o photon 0 	532.000 .p analog 1 	532.000 .p photon 1 	1064.000 .o analog 2 
 19.6557	130.6292	  9.9630	118.6458	  1.8087
 19.6505	131.5958	  9.9532	118.6792	  1.8087
 19.6600	131.7708	  9.9660	118.6042	  1.8089
 19.6723	131.4333	  9.9478	118.4250	  1.8082
 19.6431	131.7917	  9.9826	118.3042	  1.8083
 19.6633	131.3375	  9.9517	118.3833	  1.8086
 19.6535	131.1917	  9.9521	118.5542	  1.8094
 19.6491	131.0417	  9.9792	118.3958	  1.8087
 19.6447	131.5667	  9.9574	118.5875	  1.8088
 19.6619	131.3458	  9.9442	118.6708	  1.8091
 19.6424	131.2333	  9.9607	118.2042	  1.8091
 19.6720	131.5167	  9.9322	118.6042	  1.8083
 19.6508	131.5333	  9.9471	118.2250	  1.8088
 19.6590	131.2125	  9.9366	118.4583	  1.8088
 19.6492	131.2500	  9.9485	118.0542	  1.8082
 19.6676	131.0375	  9.9460	117.9417	  1.8086
 19.6528	131.5667	  9.9604	118.5875	  1.8084
 19.6472	131.4125	  9.9765	118.3458	  1.8088
 19.6686	131.3500	  9.9619	118.0917	  1.8086
 19.6520	131.2500	  9.9624	118.5125	  1.8084
 19.6568	131.0375	  9.9629	118.5917	  1.8088
 19.6588	131.6958	  9.9629	118.5083	  1.8086
 19.6415	131.0917	  9.9659	118.4500	  1.8086
 19.6589	130.6417	  9.9729	118.3875	  1.8081
 19.6372	131.4208	  9.9700	118.6458	  1.8089
 19.6586	131.2750	  9.9669	118.5208	  1.8082
 19.6474	131.4250	  9.9566	118.5542	  1.8083
 19.6608	131.1167	  9.9402	118.2625	  1.8092
 19.6543	131.3375	  9.9481	118.0833	  1.8083
 19.6632	131.2417	  9.9686	118.6625	  1.8082
 19.6378	131.4667	  9.9604	118.4667	  1.8090
 19.6711	131.1125	  9.9586	118.9208	  1.8088
 19.6669	130.9833	  9.9608	118.5667	  1.8087
 19.6570	131.6500	  9.9788	118.0333	  1.8090
 19.6532	131.6792	  9.9699	118.9542	  1.8088
 19.6647	131.4583	  9.9561	118.0583	  1.8083
 19.6639	130.9667	  9.9706	118.1042	  1.8088
 19.6538	131.1083	  9.9590	118.0917	  1.8087
 19.6607	131.4750	  9.9637	118.3833	  1.8084
 19.6621	130.8042	  9.9771	118.9417	  1.8092
 19.6679	131.4458	  9.9471	118.6708	  1.8085
 19.6775	131.9500	  9.9493	118.3583	  1.8086
 19.6480	130.9625	  9.9665	118.5375	  1.8082
 19.6649	131.5833	  9.9503	118.3583	  1.8084
