P8010116.392479
GADANKI 01/01/1980 16:38:18 01/01/1980 16:39:25 0350 0079.2 0013.4 00
0000000 0020 0001200 0020 05
1 0 2 02000 1 0000 0030 00532.o 0 0 00 000 14 001200 0.100 BT0
1 1 2 02000 1 0000 0030 00532.o 0 0 00 000 00 001200 0.0000 BC0
1 0 2 02000 1 0000 0030 00532.p 0 0 00 000 14 001200 0.100 BT1
1 1 2 02000 1 0000 0030 00532.p 0 0 00 000 00 001200 0.0000 BC1
1 0 2 02000 1 0000 0030 01064.o 0 0 00 000 14 001200 0.100 BT2
532.000 .o analog 0 	532.000 .o photon 0 	532.000 .p analog 1 	532.000 .p photon 1 	1064.000 .o analog 2 
 20.4065	113.2333	 12.0638	 94.2333	  1.8103
 21.3911	147.4542	 12.4785	121.6292	  1.8118
 95.0671	144.0333	 47.2492	120.9375	  1.8109
 99.9743	140.4208	 29.6816	119.4042	  1.8110
 90.0039	137.9333	 26.5714	118.6042	  1.8104
 63.6524	136.9667	 21.7852	118.0167	  1.8099
 48.3203	135.1917	 18.5182	117.5083	  1.8107
 39.3734	134.2708	 16.5238	117.3708	  1.8100
 33.8545	133.0292	 15.2918	115.9417	  1.8106
 30.3232	132.7042	 14.5000	116.4125	  1.8108
 27.9483	132.3042	 13.9492	115.7208	  1.8104
 26.2424	132.6750	 13.5310	116.1708	  1.8103
 25.0321	131.2750	 13.2340	116.2250	  1.8108
 24.1461	132.4042	 13.0154	115.9042	  1.8105
 23.4673	131.4917	 12.8494	115.3375	  1.8111
 22.9505	131.9375	 12.7260	114.7417	  1.8105
 22.5694	131.7875	 12.6135	115.8875	  1.8111
 22.2201	131.9125	 12.5453	115.5833	  1.8109
 21.9733	131.5000	 12.4768	115.2042	  1.8106
 21.7583	130.8042	 12.4288	115.6708	  1.8104
 21.5924	131.0083	 12.3755	114.9375	  1.8104
 21.4209	131.1917	 12.3414	115.3292	  1.8106
 21.3083	131.0625	 12.3178	115.1333	  1.8112
 21.2309	130.6250	 12.2681	115.5708	  1.8106
 21.1144	130.5375	 12.2711	115.2917	  1.8105
 21.0457	131.0000	 12.2209	115.3250	  1.8108
 20.9773	130.8333	 12.2186	115.2250	  1.8100
 20.9049	130.0458	 12.2079	115.7917	  1.8106
 20.8594	131.1542	 12.1854	115.4458	  1.8112
 20.7919	130.7125	 12.1665	115.1875	  1.8108
 20.7561	130.9750	 12.1679	115.3792	  1.8110
 20.7164	130.4375	 12.1551	115.0750	  1.8105
 20.6972	131.0042	 12.1528	114.4208	  1.8109
 20.6802	130.5042	 12.1404	115.6917	  1.8108
 20.6413	130.1042	 12.1425	115.7417	  1.8111
 20.6357	130.8667	 12.1257	115.1667	  1.8107
 20.6021	130.6000	 12.1337	115.2083	  1.8111
 20.5660	130.4750	 12.1118	114.9042	  1.8107
 20.5326	130.3042	 12.1030	115.1792	  1.8115
 20.5102	131.2792	 12.0887	115.5500	  1.8108
 20.4995	130.7708	 12.0963	115.0458	  1.8106
 20.4649	130.7833	 12.0857	114.8583	  1.8110
 20.4517	130.7833	 12.0760	114.6667	  1.8109
 20.4410	130.7667	 12.0624	115.6000	  1.8107
 20.4324	130.2917	 12.0654	115.5917	  1.8113
 20.4199	130.8750	 12.0640	115.2625	  1.8108
 20.4420	130.6042	 12.0713	114.9542	  1.8110
 20.3975	130.6833	 12.0689	115.1958	  1.8113
 20.3952	130.6292	 12.0659	115.2625	  1.8106
 20.4314	130.4958	 12.0693	115.2583	  1.8110
 20.3999	130.7292	 12.0646	115.3083	  1.8113
 20.4055	130.4292	 12.0695	115.4917	  1.8107
 20.3988	130.6083	 12.0619	115.3667	  1.8109
 20.3937	130.4958	 12.0643	114.7958	  1.8116
 20.3859	130.2083	 12.0591	115.1167	  1.8107
 20.4052	130.5250	 12.0729	115.3875	  1.8109
 20.3931	130.5708	 12.0440	114.8542	  1.8108
 20.3888	130.3875	 12.0541	115.1000	  1.8110
 20.3820	130.8125	 12.0645	115.1417	  1.8109
 20.3791	130.3042	 12.0475	115.7750	  1.8107
 20.3592	130.7333	 12.0643	115.1708	  1.8109
 20.3926	130.5250	 12.0573	114.8625	  1.8111
 20.3844	131.0208	 12.0479	115.4667	  1.8101
 20.4072	130.2917	 12.0674	115.3375	  1.8103
 20.3620	130.6208	 12.0580	115.3792	  1.8107
 20.3846	130.6875	 12.0627	115.8250	  1.8108
 20.3988	129.7042	 12.0602	114.7333	  1.8107
 20.3750	130.9167	 12.0688	114.8250	  1.8110
 20.3810	131.0958	 12.0618	114.8083	  1.8113
 20.3776	130.7417	 12.0636	115.5792	  1.8105
 20.3937	131.0833	 12.0705	115.2458	  1.8111
 20.3834	130.7042	 12.0559	115.5083	  1.8104
 20.3922	130.4917	 12.0651	115.1500	  1.8105
 20.3850	130.4750	 12.0647	114.4708	  1.8109
 20.3799	130.4833	 12.0561	115.2542	  1.8103
 20.3781	130.2583	 12.0544	115.7000	  1.8112
 20.3865	130.4667	 12.0662	115.2875	  1.8104
 20.3732	130.3375	 12.0609	114.7125	  1.8111
 20.3864	130.6667	 12.0574	114.8833	  1.8110
 20.3781	130.7125	 12.0461	115.2708	  1.8101
 20.3920	130.7875	 12.0612	115.8458	  1.8106
 20.3750	130.4542	 12.0492	114.9458	  1.8105
 20.3842	130.6583	 12.0631	115.6875	  1.8104
 20.3797	130.7333	 12.0396	115.6125	  1.8112
 20.3860	130.7000	 12.0547	115.2500	  1.8110
 20.3793	130.4667	 12.0442	115.5000	  1.8106
 20.3872	130.4917	 12.0582	115.3542	  1.8106
 20.3703	130.9833	 12.0531	115.2375	  1.8103
 20.3804	130.0458	 12.0556	115.2667	  1.8108
 20.3827	130.6917	 12.0732	115.2000	  1.8113
 20.3820	130.4417	 12.0472	115.0417	  1.8110
 20.3844	130.2292	 12.0678	115.1917	  1.8105
 20.3720	130.7000	 12.0681	114.5167	  1.8100
 20.3877	131.0583	 12.0543	114.8000	  1.8116
 20.3679	130.4667	 12.0482	115.3333	  1.8113
 20.3915	130.5792	 12.0487	115.9333	  1.8112
 20.3826	130.6750	 12.0646	115.1375	  1.8107
 20.3702	130.9917	 12.0640	116.2333	  1.8107
 20.3637	130.3792	 12.0669	115.4375	  1.8100
 20.3961	130.9542	 12.0673	115.1458	  1.8104
 20.3666	130.6167	 12.0700	115.4917	  1.8113
 20.3775	131.0833	 12.0546	115.6833	  1.8111
 20.3673	130.8042	 12.0405	115.2458	  1.8112
 20.3668	130.3583	 12.0558	115.1500	  1.8104
 20.3893	130.6333	 12.0708	114.6583	  1.8107
 20.3637	130.4208	 12.0538	115.1208	  1.8106
 20.3750	130.2708	 12.0511	115.5667	  1.8106
 20.3902	130.6500	 12.0550	115.1917	  1.8108
 20.3805	131.2667	 12.0562	115.3792	  1.8109
 20.3786	130.9083	 12.0317	114.5125	  1.8107
 20.3936	130.1667	 12.0651	115.3792	  1.8104
 20.3967	130.7667	 12.0743	115.3000	  1.8107
 20.3850	130.6708	 12.0701	114.7042	  1.8107
 20.3738	130.7042	 12.0621	115.9625	  1.8103
 20.3810	130.3917	 12.0449	115.2083	  1.8110
 20.3795	130.3042	 12.0510	115.1792	  1.8107
 20.3780	130.8708	 12.0618	115.1167	  1.8108
 20.3755	131.1833	 12.0569	114.8583	  1.8103
 20.3855	130.9208	 12.0674	114.9250	  1.8107
 20.3756	130.6042	 12.0730	115.5333	  1.8108
 20.3634	130.6792	 12.0562	115.2750	  1.8110
 20.3953	130.5333	 12.0568	115.6500	  1.8114
 20.3851	130.6375	 12.0496	115.5542	  1.8113
 20.3798	130.8167	 12.0484	115.7250	  1.8106
 20.3809	130.1208	 12.0583	115.3458	  1.8107
 20.3828	130.1625	 12.0590	115.1917	  1.8103
 20.3678	131.1208	 12.0641	115.0875	  1.8114
 20.3854	130.7875	 12.0430	115.2625	  1.8104
 20.3829	130.7208	 12.0417	115.2708	  1.8111
 20.3610	131.0042	 12.0472	115.3667	  1.8108
 20.3839	131.0458	 12.0515	115.6750	  1.8111
 20.3818	130.5708	 12.0570	114.6833	  1.8106
 20.3648	130.9792	 12.0601	115.4333	  1.8104
 20.3881	130.4792	 12.0578	115.7833	  1.8112
 20.3757	130.6000	 12.0653	115.0500	  1.8107
 20.3951	130.6958	 12.0593	115.7250	  1.8104
 20.3724	130.7042	 12.0461	115.7500	  1.8111
 20.3851	130.3583	 12.0609	115.4000	  1.8103
 20.4124	130.4958	 12.0476	115.2667	  1.8107
 20.3797	131.1417	 12.0579	115.1792	  1.8104
 20.3821	130.5917	 12.0721	115.3583	  1.8110
 20.3764	129.9500	 12.0641	115.1875	  1.8112
 20.3834	130.6250	 12.0476	114.6167	  1.8102
 20.3823	130.0083	 12.0621	115.9167	  1.8106
 20.3803	130.7958	 12.0622	114.6750	  1.8107
 20.3715	130.6333	 12.0594	115.4667	  1.8101
 20.3712	130.7417	 12.0611	115.5917	  1.8104
 20.3780	130.6958	 12.0729	115.5292	  1.8108
 20.3705	130.9333	 12.0605	114.5625	  1.8103
 20.3927	130.0667	 12.0627	114.9833	  1.8108
 20.3841	131.0792	 12.0607	115.0375	  1.8113
 20.3619	130.3750	 12.0654	114.9958	  1.8106
 20.3764	130.4417	 12.0672	115.6167	  1.8113
 20.3737	129.7833	 12.0574	115.5500	  1.8111
 20.3834	130.3083	 12.0573	114.8875	  1.8107
 20.3752	131.0000	 12.0618	115.2583	  1.8105
 20.3827	130.3875	 12.0630	115.5875	  1.8107
 20.3736	131.0042	 12.0604	115.2375	  1.8110
 20.3809	130.1667	 12.0670	115.4375	  1.8106
 20.3721	130.3208	 12.0607	115.1667	  1.8109
 20.3894	130.3000	 12.0589	115.5000	  1.8103
 20.3826	130.4625	 12.0361	115.0208	  1.8107
 20.3957	131.1167	 12.0468	115.2000	  1.8102
 20.3549	130.4542	 12.0491	115.2958	  1.8105
 20.3835	131.0875	 12.0560	114.6458	  1.8107
 20.3851	130.7875	 12.0614	115.0833	  1.8103
 20.3969	130.4917	 12.0638	114.9458	  1.8105
 20.3811	130.4167	 12.0540	115.4375	  1.8107
 20.3849	130.5875	 12.0759	115.4917	  1.8106
 20.3939	130.6083	 12.0577	115.2208	  1.8104
 20.3763	131.1042	 12.0472	115.1208	  1.8108
 20.3827	130.3708	 12.0771	115.1792	  1.8109
 20.3687	129.8542	 12.0525	115.7958	  1.8109
 20.3856	130.2083	 12.0636	115.3625	  1.8108
 20.3870	130.5958	 12.0391	115.6708	  1.8108
 20.3900	130.4750	 12.0573	114.9708	  1.8104
 20.3840	130.4375	 12.0552	114.5625	  1.8103
 20.3661	130.7583	 12.0589	115.1042	  1.8102
 20.3608	130.2708	 12.0430	115.2792	  1.8108
 20.3755	130.3542	 12.0589	115.3375	  1.8106
 20.3829	130.1667	 12.0568	115.2792	  1.8104
 20.3982	130.9000	 12.0654	115.7583	  1.8111
 20.3717	130.8417	 12.0468	114.9875	  1.8104
 20.3655	130.5917	 12.0501	114.9083	  1.8108
 20.3717	130.4292	 12.0631	115.0667	  1.8106
 20.3920	130.9542	 12.0597	114.8167	  1.8106
 20.3739	130.9167	 12.0531	115.4583	  1.8107
 20.3831	129.9625	 12.0645	114.7625	  1.8106
