P8010116.432672
GADANKI 01/01/1980 16:42:26 01/01/1980 16:43:27 0350 0079.2 0013.4 00
0000000 0020 0001200 0020 05
1 0 2 02000 1 0000 0030 00532.o 0 0 00 000 14 001200 0.100 BT0
1 1 2 02000 1 0000 0030 00532.o 0 0 00 000 00 001200 0.0000 BC0
1 0 2 02000 1 0000 0030 00532.p 0 0 00 000 14 001200 0.100 BT1
1 1 2 02000 1 0000 0030 00532.p 0 0 00 000 00 001200 0.0000 BC1
1 0 2 02000 1 0000 0030 01064.o 0 0 00 000 14 001200 0.100 BT2
532.000 .o analog 0 	532.000 .o photon 0 	532.000 .p analog 1 	532.000 .p photon 1 	1064.000 .o analog 2 
 19.0516	109.8000	  9.9632	 91.2875	  1.8084
 20.5015	148.9750	 10.9375	127.6250	  1.8096
 98.1507	146.0125	 68.7285	126.3250	  1.8094
 99.9756	142.6292	 34.8067	124.7458	  1.8091
 92.5165	139.2250	 28.3456	123.7125	  1.8093
 65.6214	137.8375	 22.0147	122.9667	  1.8095
 49.2450	136.4375	 17.9461	122.0375	  1.8094
 39.6865	135.8583	 15.4837	121.3458	  1.8097
 33.9748	134.9917	 14.0220	120.9625	  1.8095
 30.1635	134.2250	 13.0439	121.5250	  1.8091
 27.5772	133.7333	 12.3611	120.6583	  1.8090
 25.7001	133.3583	 11.8366	119.7417	  1.8093
 24.3304	133.3792	 11.4729	119.3500	  1.8091
 23.3122	132.5000	 11.1954	119.5375	  1.8095
 22.5609	132.6458	 10.9717	119.8750	  1.8096
 21.9904	132.5333	 10.8037	120.1875	  1.8094
 21.5159	132.0625	 10.6818	119.5750	  1.8095
 21.1739	131.6625	 10.5757	119.6125	  1.8096
 20.8976	132.2375	 10.5050	119.4833	  1.8091
 20.6334	131.5833	 10.4449	119.4500	  1.8095
 20.4163	131.5000	 10.3436	119.1417	  1.8102
 20.2670	131.9417	 10.3341	119.2333	  1.8097
 20.0912	131.6250	 10.2725	118.9167	  1.8097
 19.9351	131.8292	 10.2465	119.2500	  1.8097
 19.8356	131.4917	 10.2048	119.1458	  1.8100
 19.7422	131.8292	 10.1443	119.0125	  1.8098
 19.6452	131.3625	 10.1610	119.2458	  1.8098
 19.5967	131.7083	 10.1322	119.5000	  1.8096
 19.5334	131.5375	 10.1295	119.0292	  1.8094
 19.4814	131.3750	 10.1225	118.6750	  1.8093
 19.4389	131.4417	 10.0922	118.9792	  1.8092
 19.4140	131.9250	 10.0781	118.7875	  1.8099
 19.3730	131.3125	 10.0639	118.1625	  1.8095
