P8010116.472884
GADANKI 01/01/1980 16:46:28 01/01/1980 16:47:29 0350 0079.2 0013.4 00
0000000 0020 0001200 0020 05
1 0 2 02000 1 0000 0030 00532.o 0 0 00 000 14 001200 0.100 BT0
1 1 2 02000 1 0000 0030 00532.o 0 0 00 000 00 001200 0.0000 BC0
1 0 2 02000 1 0000 0030 00532.p 0 0 00 000 14 001200 0.100 BT1
1 1 2 02000 1 0000 0030 00532.p 0 0 00 000 00 001200 0.0000 BC1
1 0 2 02000 1 0000 0030 01064.o 0 0 00 000 14 001200 0.100 BT2
532.000 .o analog 0 	532.000 .o photon 0 	532.000 .p analog 1 	532.000 .p photon 1 	1064.000 .o analog 2 
 20.3288	110.0625	  9.8278	 94.3125	  1.8083
 21.6135	147.3708	 11.1751	127.5000	  1.8095
 97.7365	144.0208	 68.5018	126.3083	  1.8091
 99.9709	140.8708	 35.2085	125.1833	  1.8090
 88.9598	138.5125	 29.3221	123.9292	  1.8090
 62.6083	136.6500	 22.7159	123.3083	  1.8089
 47.7748	135.3667	 18.3936	121.9042	  1.8090
 39.1470	133.9708	 15.8484	121.9333	  1.8092
 33.7781	133.5583	 14.2472	120.7125	  1.8090
 30.2772	133.2375	 13.1457	120.9292	  1.8089
 27.8962	132.5125	 12.3541	120.3167	  1.8087
 26.2282	132.2167	 11.8277	120.3500	  1.8091
 25.0273	131.1208	 11.4400	119.9292	  1.8092
 24.1497	132.2083	 11.1618	119.3500	  1.8092
 23.4750	131.6875	 10.9537	119.7167	  1.8093
 22.9450	131.8083	 10.7729	119.5042	  1.8092
 22.5408	131.8917	 10.6268	119.8250	  1.8096
 22.2341	130.9083	 10.5163	119.5083	  1.8090
 21.9527	130.9167	 10.4200	119.4125	  1.8090
 21.7505	131.0083	 10.3412	118.8917	  1.8098
 21.5585	131.0542	 10.2773	118.9333	  1.8089
 21.4062	131.5292	 10.2293	118.9042	  1.8089
 21.2839	131.3625	 10.1871	118.8708	  1.8094
 21.1680	131.1250	 10.1374	118.9375	  1.8089
 21.0804	131.1292	 10.1214	119.0583	  1.8088
 21.0116	130.6875	 10.0864	118.8875	  1.8093
 20.9348	130.6958	 10.0816	119.2250	  1.8096
 20.8329	131.1750	 10.0390	119.4083	  1.8093
 20.7568	131.2875	 10.0000	118.9708	  1.8087
 20.7124	130.8792	  9.9804	118.2667	  1.8093
 20.6797	130.7125	  9.9575	118.8292	  1.8094
 20.6312	130.7583	  9.9309	119.1250	  1.8090
 20.5883	131.1042	  9.9416	118.5750	  1.8091
 20.5766	130.6167	  9.9133	118.5458	  1.8095
 20.5598	131.1542	  9.9592	118.1042	  1.8091
 20.5269	130.3500	  9.9205	118.3583	  1.8086
 20.5119	130.8667	  9.9202	119.1375	  1.8093
 20.5086	130.9292	  9.8895	118.8667	  1.8088
 20.4679	130.7167	  9.8984	118.8792	  1.8091
 20.4415	130.3125	  9.8650	118.5167	  1.8092
 20.3904	131.0875	  9.8476	118.7333	  1.8091
 20.3930	130.4833	  9.8532	118.8917	  1.8094
 20.3805	130.3708	  9.8593	118.8667	  1.8089
 20.3570	130.8458	  9.8590	118.7167	  1.8087
 20.3577	130.1917	  9.8327	118.5292	  1.8094
 20.3711	130.1500	  9.8615	119.2458	  1.8094
 20.3505	129.9917	  9.8394	118.7625	  1.8095
