P8010116.452784
GADANKI 01/01/1980 16:44:27 01/01/1980 16:45:28 0350 0079.2 0013.4 00
0000000 0020 0001200 0020 05
1 0 2 02000 1 0000 0030 00532.o 0 0 00 000 14 001200 0.100 BT0
1 1 2 02000 1 0000 0030 00532.o 0 0 00 000 00 001200 0.0000 BC0
1 0 2 02000 1 0000 0030 00532.p 0 0 00 000 14 001200 0.100 BT1
1 1 2 02000 1 0000 0030 00532.p 0 0 00 000 00 001200 0.0000 BC1
1 0 2 02000 1 0000 0030 01064.o 0 0 00 000 14 001200 0.100 BT2
532.000 .o analog 0 	532.000 .o photon 0 	532.000 .p analog 1 	532.000 .p photon 1 	1064.000 .o analog 2 
 20.1908	112.1125	  9.8183	 95.6083	  1.8080
 21.6021	148.5708	 11.2292	127.6875	  1.8095
 98.0383	144.4667	 67.9387	126.9333	  1.8091
 99.9756	141.1958	 36.8510	125.5958	  1.8091
 91.5642	138.8708	 30.8145	124.4250	  1.8093
 64.9413	137.1667	 23.6865	123.3792	  1.8087
 49.0614	136.4125	 18.9489	121.5292	  1.8090
 39.9771	134.7083	 16.1702	121.7167	  1.8094
 34.3485	133.6750	 14.4519	120.6375	  1.8095
 30.6515	132.3708	 13.3014	120.7125	  1.8086
 28.1722	132.8625	 12.5065	120.5083	  1.8090
 26.4250	132.6000	 11.9541	119.8750	  1.8092
 25.1235	132.6917	 11.5347	120.4583	  1.8093
 24.2021	132.2500	 11.2149	119.8833	  1.8091
 23.4617	131.8417	 10.9806	119.5625	  1.8090
 22.9338	131.7250	 10.7824	118.9000	  1.8091
 22.5086	131.8083	 10.6776	119.3708	  1.8093
 22.1669	132.1708	 10.5350	119.1500	  1.8095
 21.9071	131.0750	 10.4297	119.5333	  1.8088
 21.6444	131.7250	 10.3662	118.5250	  1.8099
 21.4667	131.6750	 10.2941	118.6917	  1.8095
 21.2928	131.3000	 10.2360	119.2458	  1.8089
 21.1588	131.1125	 10.2004	119.2417	  1.8089
 21.0636	131.3333	 10.1538	118.6125	  1.8094
 20.9438	131.1500	 10.1115	119.3375	  1.8097
 20.8793	131.0875	 10.0889	118.9833	  1.8094
 20.8362	131.3667	 10.0724	118.8292	  1.8094
 20.7683	131.1208	 10.0367	118.9000	  1.8093
 20.6737	131.3000	 10.0167	118.7500	  1.8092
 20.6027	131.2750	  9.9712	118.9500	  1.8094
 20.5800	131.3417	  9.9661	118.7625	  1.8094
 20.5285	131.3333	  9.9557	118.7792	  1.8089
 20.4960	130.9250	  9.9409	118.3667	  1.8094
 20.4456	130.9125	  9.9352	118.3583	  1.8090
 20.4169	130.9625	  9.9195	118.7125	  1.8097
 20.4037	131.1625	  9.8951	118.6417	  1.8086
 20.3527	130.5583	  9.8852	118.8042	  1.8095
 20.3461	131.0125	  9.8881	118.6417	  1.8092
 20.2898	130.6042	  9.8677	118.9417	  1.8091
 20.2650	130.7833	  9.8657	118.5917	  1.8091
 20.2504	130.4583	  9.8600	118.0542	  1.8092
 20.2434	130.9875	  9.8379	118.5875	  1.8088
 20.2315	130.8667	  9.8460	118.5000	  1.8103
 20.2100	130.7583	  9.8492	118.7167	  1.8097
 20.2134	130.7750	  9.8275	118.6625	  1.8091
 20.2171	131.3083	  9.8415	118.5083	  1.8089
 20.2141	130.8625	  9.8266	118.7833	  1.8091
 20.1923	130.5667	  9.8159	118.4333	  1.8096
 20.2271	131.0875	  9.8280	118.4750	  1.8096
 20.1733	130.8208	  9.8490	119.4083	  1.8092
 20.1873	130.6833	  9.8300	118.2333	  1.8097
 20.2000	131.0917	  9.8271	118.3750	  1.8092
 20.1908	130.4542	  9.8368	118.5542	  1.8093
 20.1879	130.8375	  9.8095	118.7958	  1.8096
 20.1584	130.7542	  9.8501	118.5542	  1.8094
 20.1807	130.7167	  9.8197	118.7125	  1.8090
 20.1666	130.8542	  9.8197	118.9417	  1.8093
 20.1856	130.6583	  9.8360	118.4625	  1.8101
 20.1836	130.5833	  9.8023	118.7875	  1.8092
 20.1686	131.0708	  9.8080	119.5708	  1.8093
 20.1549	130.5292	  9.8265	118.9417	  1.8084
 20.1608	131.5542	  9.8187	118.6542	  1.8089
 20.1768	130.7500	  9.8058	118.6708	  1.8093
 20.1817	130.8875	  9.8157	118.5958	  1.8093
 20.1560	131.2292	  9.8351	119.0583	  1.8098
 20.1717	130.6458	  9.8233	117.9250	  1.8093
 20.1762	130.7667	  9.8229	118.7708	  1.8091
 20.1805	130.9667	  9.8133	118.6750	  1.8092
 20.1885	131.1333	  9.8315	118.5583	  1.8093
 20.1645	130.8000	  9.8211	118.4500	  1.8097
 20.1788	131.1125	  9.8350	118.5208	  1.8089
 20.1663	130.8625	  9.8239	118.7083	  1.8093
 20.1632	130.9792	  9.8430	118.8583	  1.8093
 20.1858	131.2000	  9.8310	118.9042	  1.8094
 20.1924	130.9458	  9.8287	118.3000	  1.8097
 20.1832	130.5750	  9.8077	117.9875	  1.8095
 20.1786	130.4750	  9.8216	118.8375	  1.8095
 20.1674	130.7500	  9.8159	118.4208	  1.8094
 20.1751	130.4833	  9.8511	118.5167	  1.8091
 20.1676	130.3292	  9.8154	119.1625	  1.8088
 20.1477	131.4292	  9.8322	118.5917	  1.8091
 20.1743	131.2042	  9.8226	118.5958	  1.8094
 20.1809	130.5167	  9.8101	118.5458	  1.8093
 20.1731	131.3125	  9.8124	118.2833	  1.8101
