P8010116.462835
GADANKI 01/01/1980 16:45:28 01/01/1980 16:46:28 0350 0079.2 0013.4 00
0000000 0020 0001200 0020 05
1 0 2 02000 1 0000 0030 00532.o 0 0 00 000 14 001200 0.100 BT0
1 1 2 02000 1 0000 0030 00532.o 0 0 00 000 00 001200 0.0000 BC0
1 0 2 02000 1 0000 0030 00532.p 0 0 00 000 14 001200 0.100 BT1
1 1 2 02000 1 0000 0030 00532.p 0 0 00 000 00 001200 0.0000 BC1
1 0 2 02000 1 0000 0030 01064.o 0 0 00 000 14 001200 0.100 BT2
532.000 .o analog 0 	532.000 .o photon 0 	532.000 .p analog 1 	532.000 .p photon 1 	1064.000 .o analog 2 
 19.6214	109.2917	  9.7761	 92.1250	  1.8080
 21.0995	148.0292	 11.1411	127.1167	  1.8085
 98.3258	144.9000	 72.8432	126.1792	  1.8098
 99.9749	142.1750	 37.5344	125.2292	  1.8091
 90.9454	138.9625	 30.4548	123.6375	  1.8090
 64.3148	137.8875	 23.4348	122.9167	  1.8088
 48.6200	136.6042	 18.8230	122.6833	  1.8087
 39.4870	134.7125	 16.0732	121.9083	  1.8089
 33.8044	134.3792	 14.3713	121.2542	  1.8098
 30.1091	133.9000	 13.1975	121.3458	  1.8090
 27.6086	133.5125	 12.4156	119.9167	  1.8088
 25.8302	133.0542	 11.8693	120.2583	  1.8090
 24.5808	133.0958	 11.4878	119.6500	  1.8091
 23.6435	132.7833	 11.1601	119.3042	  1.8093
 22.9390	132.3208	 10.9056	119.5708	  1.8091
 22.3599	132.2375	 10.7316	119.4458	  1.8094
 21.9361	132.4625	 10.6000	119.3125	  1.8096
 21.5938	132.0417	 10.4540	119.1875	  1.8091
 21.3303	132.1458	 10.3530	119.4375	  1.8088
 21.0778	132.3667	 10.3074	119.4667	  1.8090
 20.8974	131.9375	 10.2036	118.6750	  1.8090
 20.7336	130.9125	 10.1572	119.1542	  1.8091
 20.6252	131.6875	 10.1483	119.0167	  1.8091
 20.5457	130.8458	 10.1168	118.4417	  1.8090
 20.4449	131.6000	 10.0780	119.2333	  1.8090
 20.3406	131.0083	 10.0296	118.9667	  1.8092
 20.2238	132.0042	  9.9777	119.1792	  1.8087
 20.1589	131.7208	  9.9553	119.0250	  1.8097
 20.1004	131.6000	  9.9496	118.5167	  1.8089
 20.0373	131.3208	  9.9263	118.4208	  1.8088
 19.9866	130.8625	  9.8997	118.8625	  1.8091
 19.9269	130.9083	  9.8792	118.2583	  1.8090
 19.8959	131.2667	  9.8740	118.6083	  1.8089
 19.8571	131.7208	  9.8595	118.8292	  1.8085
 19.8569	131.0750	  9.8463	119.2000	  1.8091
 19.8238	131.3083	  9.8510	119.8833	  1.8093
 19.7979	131.3792	  9.8254	118.9167	  1.8091
 19.7931	131.4875	  9.8436	118.4000	  1.8090
 19.7586	131.2750	  9.8374	117.6542	  1.8093
 19.7254	131.1500	  9.7890	118.6250	  1.8093
 19.6754	131.0583	  9.7893	118.7667	  1.8093
 19.6798	131.3000	  9.7840	118.2625	  1.8094
 19.6613	130.9458	  9.7855	118.7792	  1.8091
 19.6394	131.6167	  9.7841	119.2125	  1.8087
 19.6282	131.2250	  9.7717	119.0083	  1.8091
 19.6144	131.4458	  9.7644	118.9042	  1.8090
 19.6143	130.7375	  9.7477	118.9458	  1.8094
 19.6145	131.3083	  9.7832	118.6208	  1.8096
 19.6213	131.3417	  9.7625	118.3083	  1.8092
 19.6396	131.5625	  9.7622	118.7875	  1.8089
 19.6268	131.2083	  9.7789	119.1125	  1.8092
 19.6108	131.0167	  9.7560	118.6667	  1.8092
 19.6416	130.9875	  9.7751	119.0083	  1.8095
 19.6255	131.5625	  9.7621	118.8625	  1.8089
 19.6279	131.6417	  9.7634	118.3667	  1.8093
 19.6132	131.2167	  9.7606	119.0708	  1.8087
 19.6084	131.4625	  9.7662	118.5833	  1.8089
 19.6187	131.5042	  9.7734	118.9208	  1.8094
 19.6068	130.8750	  9.7807	118.4500	  1.8091
 19.6141	131.5917	  9.7439	118.8792	  1.8097
 19.6120	131.0417	  9.7576	118.2583	  1.8092
 19.6012	131.6750	  9.7460	118.7792	  1.8087
 19.6074	131.1125	  9.7603	118.3792	  1.8092
 19.5931	130.8750	  9.7593	118.6833	  1.8094
 19.6005	131.3083	  9.7683	118.1333	  1.8092
 19.6052	131.3667	  9.7672	118.3042	  1.8091
 19.6023	130.8667	  9.7544	118.9875	  1.8092
 19.6123	130.7042	  9.7571	118.7708	  1.8088
 19.6072	131.9292	  9.7614	118.7125	  1.8090
 19.6085	130.9167	  9.7683	119.3958	  1.8090
 19.6009	131.2833	  9.7673	118.3333	  1.8095
 19.5963	130.6375	  9.7624	119.3292	  1.8089
 19.6168	130.7292	  9.7613	118.5958	  1.8093
 19.5906	130.9000	  9.7372	118.8542	  1.8094
 19.5958	131.2375	  9.7613	118.9333	  1.8088
 19.6129	131.7958	  9.7711	118.8792	  1.8089
 19.5982	130.6875	  9.7688	118.7083	  1.8091
 19.6095	131.3375	  9.7623	119.1708	  1.8087
 19.6020	131.1583	  9.7526	118.8167	  1.8092
 19.5946	131.1708	  9.7575	118.8458	  1.8093
 19.6111	130.8583	  9.7543	118.9208	  1.8088
 19.6082	130.8208	  9.7590	118.8208	  1.8094
 19.6095	131.2958	  9.7601	118.3750	  1.8093
 19.6086	131.2708	  9.7474	119.4208	  1.8089
 19.6041	130.9000	  9.7579	118.4167	  1.8095
 19.6209	132.0500	  9.7271	118.5000	  1.8093
 19.5950	131.6250	  9.7447	118.4625	  1.8091
 19.6166	131.3667	  9.7500	118.9208	  1.8093
 19.6069	130.9542	  9.7422	118.4917	  1.8094
 19.5950	131.1792	  9.7594	118.9375	  1.8085
 19.5921	131.0833	  9.7627	118.6667	  1.8089
 19.5974	131.2042	  9.7608	118.3875	  1.8084
 19.5904	130.8833	  9.7659	118.5250	  1.8089
 19.5851	131.5625	  9.7664	118.2917	  1.8087
 19.5936	131.7583	  9.7715	118.5583	  1.8089
 19.5943	131.2875	  9.7711	118.2042	  1.8091
 19.5865	131.3208	  9.7587	118.7125	  1.8091
 19.6082	131.4125	  9.7515	119.0083	  1.8090
 19.6206	131.7125	  9.7625	118.5583	  1.8093
 19.5851	131.3208	  9.7379	119.0500	  1.8092
 19.6098	131.2875	  9.7822	118.8292	  1.8094
 19.6050	130.9833	  9.7488	118.3208	  1.8090
 19.6046	131.3792	  9.7516	118.6125	  1.8087
 19.6034	131.1625	  9.7425	118.4583	  1.8085
