P8010116.422622
GADANKI 01/01/1980 16:41:26 01/01/1980 16:42:26 0350 0079.2 0013.4 00
0000000 0020 0001200 0020 05
1 0 2 02000 1 0000 0030 00532.o 0 0 00 000 14 001200 0.100 BT0
1 1 2 02000 1 0000 0030 00532.o 0 0 00 000 00 001200 0.0000 BC0
1 0 2 02000 1 0000 0030 00532.p 0 0 00 000 14 001200 0.100 BT1
1 1 2 02000 1 0000 0030 00532.p 0 0 00 000 00 001200 0.0000 BC1
1 0 2 02000 1 0000 0030 01064.o 0 0 00 000 14 001200 0.100 BT2
532.000 .o analog 0 	532.000 .o photon 0 	532.000 .p analog 1 	532.000 .p photon 1 	1064.000 .o analog 2 
 19.0283	110.0792	 10.5287	 91.5125	  1.8081
 20.4587	149.1250	 11.1630	125.1792	  1.8092
 97.8894	145.6750	 62.3232	124.1375	  1.8094
 99.9747	142.7250	 30.1980	123.1500	  1.8099
 92.1310	139.9000	 25.0607	122.3500	  1.8092
 65.3143	138.4792	 20.0621	121.1000	  1.8097
 49.2086	136.9708	 16.9105	120.8875	  1.8089
 39.7711	135.0292	 14.9914	119.5333	  1.8092
 33.8759	134.8583	 13.7690	119.9375	  1.8088
 30.0655	133.9875	 12.9761	119.5750	  1.8091
 27.3491	133.4667	 12.3995	119.6083	  1.8091
 25.5239	133.1958	 12.0151	119.0625	  1.8092
 24.2415	133.3750	 11.7281	118.4125	  1.8095
 23.2607	132.1125	 11.5082	118.5583	  1.8090
 22.5187	132.3833	 11.3552	118.5125	  1.8096
 21.9279	132.9333	 11.2195	118.8625	  1.8093
 21.4605	132.5000	 11.1119	118.4833	  1.8082
 21.1007	131.5292	 11.0251	118.7833	  1.8088
 20.8151	132.3333	 10.9642	117.9833	  1.8086
 20.5740	131.9708	 10.9080	118.6167	  1.8093
 20.3477	131.8708	 10.8546	118.5583	  1.8089
 20.1556	131.5792	 10.8074	118.0667	  1.8091
 20.0480	131.7625	 10.7830	118.3000	  1.8090
