P8010116.412573
GADANKI 01/01/1980 16:40:25 01/01/1980 16:41:26 0350 0079.2 0013.4 00
0000000 0020 0001200 0020 05
1 0 2 02000 1 0000 0030 00532.o 0 0 00 000 14 001200 0.100 BT0
1 1 2 02000 1 0000 0030 00532.o 0 0 00 000 00 001200 0.0000 BC0
1 0 2 02000 1 0000 0030 00532.p 0 0 00 000 14 001200 0.100 BT1
1 1 2 02000 1 0000 0030 00532.p 0 0 00 000 00 001200 0.0000 BC1
1 0 2 02000 1 0000 0030 01064.o 0 0 00 000 14 001200 0.100 BT2
532.000 .o analog 0 	532.000 .o photon 0 	532.000 .p analog 1 	532.000 .p photon 1 	1064.000 .o analog 2 
 18.7985	109.7375	 10.2059	 91.4167	  1.8082
 20.1409	149.2167	 10.6921	125.8542	  1.8091
 97.5548	145.7167	 60.9321	124.9833	  1.8095
 99.9756	143.2583	 30.1103	123.2167	  1.8089
 93.0831	140.6125	 25.0298	122.8000	  1.8089
 66.4098	138.2917	 20.0152	121.4708	  1.8097
 49.7488	136.6208	 16.7000	120.6125	  1.8090
 39.9795	135.8667	 14.7227	120.0667	  1.8087
 33.9734	135.3958	 13.5101	119.9375	  1.8090
 30.0463	133.9292	 12.6784	119.4667	  1.8095
 27.3527	133.5750	 12.1146	119.4417	  1.8093
 25.4829	133.6292	 11.7172	118.6583	  1.8089
 24.1870	132.9458	 11.4294	119.5458	  1.8092
 23.1476	132.3083	 11.2236	118.4208	  1.8091
 22.4098	132.9500	 11.0429	119.0500	  1.8090
 21.8146	132.9542	 10.9070	118.1750	  1.8090
 21.3342	132.8000	 10.7986	118.2083	  1.8091
 20.9456	132.3500	 10.7027	118.7667	  1.8090
 20.6470	132.1958	 10.6421	117.9458	  1.8095
 20.3979	132.3958	 10.5900	117.8458	  1.8091
 20.2126	131.9458	 10.5259	118.4875	  1.8093
 20.0302	131.7792	 10.5000	118.8708	  1.8097
 19.8748	131.8958	 10.4551	117.9250	  1.8097
 19.7528	131.4917	 10.4382	118.0042	  1.8094
 19.6526	131.8083	 10.4053	117.6208	  1.8094
 19.5554	131.9792	 10.3791	118.2125	  1.8092
 19.4792	131.6833	 10.3589	117.7000	  1.8091
 19.3855	131.7333	 10.3610	118.1667	  1.8090
 19.3508	132.4167	 10.3394	118.2500	  1.8088
 19.2912	132.2208	 10.3057	118.0750	  1.8094
 19.2438	131.6875	 10.3024	118.3375	  1.8091
 19.1906	131.7000	 10.3075	118.4125	  1.8091
 19.1625	131.5750	 10.2862	117.5875	  1.8092
 19.1485	131.5792	 10.2848	117.8250	  1.8094
 19.0904	131.6708	 10.2707	118.2042	  1.8093
 19.0515	131.5583	 10.2690	118.4875	  1.8093
 19.0415	131.0917	 10.2712	117.9167	  1.8089
 19.0336	131.7375	 10.2424	117.5583	  1.8095
 18.9441	130.9000	 10.2406	117.4708	  1.8088
 18.9273	131.4917	 10.2246	117.7583	  1.8088
 18.9329	131.7208	 10.2505	118.0417	  1.8091
 18.9149	131.5917	 10.2244	117.9458	  1.8089
 18.8812	131.9250	 10.2215	117.8625	  1.8096
 18.8527	131.5792	 10.2243	117.7417	  1.8089
 18.8733	131.1833	 10.2213	118.1083	  1.8086
 18.8642	131.0667	 10.2225	117.5333	  1.8085
 18.8414	131.0583	 10.2093	118.7250	  1.8093
 18.8493	132.0667	 10.2150	118.7333	  1.8091
 18.8416	131.2208	 10.2066	118.1000	  1.8089
 18.8449	131.4833	 10.2190	118.2708	  1.8090
 18.8316	131.4250	 10.2046	117.9917	  1.8092
 18.8503	131.7500	 10.2232	117.7833	  1.8085
 18.8247	130.9042	 10.1936	117.9833	  1.8090
 18.8397	131.0667	 10.2210	118.8208	  1.8090
 18.8041	131.8958	 10.2047	118.2583	  1.8096
 18.8167	131.2000	 10.2185	118.7208	  1.8095
 18.8194	131.5125	 10.1984	118.2000	  1.8090
 18.8211	131.5792	 10.2001	117.7042	  1.8096
 18.8384	131.0833	 10.2017	118.2625	  1.8092
 18.8218	131.0458	 10.2020	117.5208	  1.8095
 18.7875	131.4208	 10.2105	118.2458	  1.8088
 18.8093	131.2917	 10.2085	117.8542	  1.8093
 18.7918	131.5917	 10.2066	118.7042	  1.8095
 18.8246	131.5667	 10.2253	117.7250	  1.8092
 18.8167	131.4958	 10.2084	118.3542	  1.8095
 18.8081	131.5250	 10.1961	117.8833	  1.8095
 18.7995	131.1208	 10.1987	118.3333	  1.8089
 18.8108	131.2167	 10.2000	118.4792	  1.8088
 18.8185	131.2292	 10.2086	118.1708	  1.8096
 18.7994	131.3583	 10.2113	118.0917	  1.8092
 18.8204	131.5792	 10.2010	118.4583	  1.8091
 18.8144	130.5417	 10.2091	118.3625	  1.8092
 18.8270	131.2792	 10.1963	118.3667	  1.8091
 18.7952	131.6042	 10.2060	117.8375	  1.8094
 18.8030	131.6292	 10.2030	117.7583	  1.8093
 18.7978	131.8417	 10.2158	117.7792	  1.8093
 18.8043	131.4917	 10.2016	117.5708	  1.8098
 18.7960	131.5333	 10.2057	117.9000	  1.8092
 18.7923	130.9417	 10.1992	117.2292	  1.8094
 18.7901	131.3875	 10.1934	118.2625	  1.8091
 18.8153	131.4000	 10.2004	118.0875	  1.8088
 18.8145	131.4000	 10.2094	117.4625	  1.8089
 18.8202	130.9917	 10.2154	118.3125	  1.8093
 18.8005	131.1292	 10.2138	117.9792	  1.8094
 18.8104	131.7958	 10.1985	118.0375	  1.8094
 18.8281	131.2542	 10.2140	118.2958	  1.8093
 18.8166	131.7167	 10.2062	118.0167	  1.8087
 18.8227	131.2417	 10.1971	118.0458	  1.8094
 18.8215	132.0250	 10.1965	117.9000	  1.8090
 18.8006	131.6917	 10.2051	117.9417	  1.8092
 18.8141	130.9875	 10.2198	118.2667	  1.8088
 18.8168	131.6375	 10.2062	118.0542	  1.8088
 18.8252	131.7000	 10.2059	118.2417	  1.8087
 18.8224	131.0833	 10.2193	118.6292	  1.8092
 18.8200	132.0667	 10.2041	118.5917	  1.8089
 18.8249	131.6333	 10.1982	117.8125	  1.8095
 18.8104	131.3917	 10.2048	118.3417	  1.8090
 18.8006	131.4000	 10.1970	117.6167	  1.8093
 18.8178	131.6417	 10.2149	117.8042	  1.8090
 18.8224	131.5375	 10.2066	117.6667	  1.8094
 18.8063	131.6750	 10.2153	118.3000	  1.8095
 18.8165	131.1000	 10.2107	117.5708	  1.8096
 18.8156	131.5375	 10.1976	118.0250	  1.8089
 18.8215	131.1250	 10.1982	118.5583	  1.8093
 18.8143	131.1333	 10.2113	118.3792	  1.8089
 18.8138	131.4000	 10.2023	118.1292	  1.8099
 18.8072	131.4792	 10.2115	118.7542	  1.8090
 18.7934	131.1500	 10.2031	117.6417	  1.8090
 18.8017	131.4583	 10.2028	118.4792	  1.8092
 18.8163	131.3667	 10.2092	117.8750	  1.8094
 18.8306	130.9292	 10.2043	118.1167	  1.8084
 18.8113	131.7542	 10.2139	118.1750	  1.8093
 18.8011	131.1750	 10.2100	117.7042	  1.8089
 18.8236	131.2458	 10.2009	117.9583	  1.8093
 18.8057	131.7125	 10.2026	118.0708	  1.8092
 18.8128	131.3458	 10.2112	117.8792	  1.8090
 18.8160	131.5167	 10.2063	118.3375	  1.8088
 18.8174	131.4958	 10.2159	118.2458	  1.8087
 18.8000	131.0917	 10.1970	118.2542	  1.8090
 18.8134	131.7500	 10.2153	117.7208	  1.8087
 18.8281	131.4000	 10.2050	118.2042	  1.8095
 18.7903	131.4083	 10.2102	118.4458	  1.8092
 18.8174	130.9708	 10.2073	117.9792	  1.8089
 18.8027	131.7500	 10.2050	117.4917	  1.8090
 18.8058	131.3000	 10.2112	117.9417	  1.8089
 18.8140	131.8417	 10.2237	118.6417	  1.8094
 18.7937	131.6625	 10.1855	118.2667	  1.8091
 18.8059	131.5208	 10.1927	117.5625	  1.8097
 18.8135	131.8875	 10.1993	118.0333	  1.8090
 18.7980	131.4500	 10.2001	118.3000	  1.8091
 18.8073	131.2250	 10.1928	117.6667	  1.8095
 18.8140	131.5958	 10.1983	117.9917	  1.8094
 18.8010	131.0833	 10.2018	117.7375	  1.8097
 18.7990	131.6042	 10.1994	118.1292	  1.8083
 18.8100	130.8417	 10.1977	118.3625	  1.8093
 18.8177	131.4375	 10.2084	118.0708	  1.8096
 18.8062	131.5333	 10.2024	117.3833	  1.8098
 18.8147	131.3792	 10.1972	118.0042	  1.8093
 18.8098	131.3250	 10.1983	117.5833	  1.8092
 18.8199	131.8750	 10.2053	117.8542	  1.8094
 18.7936	130.9167	 10.2198	118.4417	  1.8090
 18.8026	131.0625	 10.2069	117.5333	  1.8091
 18.8154	131.5250	 10.1917	118.2417	  1.8094
 18.7944	131.7875	 10.1856	118.1833	  1.8093
 18.8158	131.7167	 10.1974	118.3167	  1.8088
 18.8177	131.1583	 10.2160	118.3333	  1.8091
 18.8112	131.0583	 10.2045	117.5125	  1.8093
 18.8107	131.5667	 10.1949	117.8958	  1.8091
 18.8193	131.0708	 10.2129	118.0917	  1.8089
 18.8207	131.3833	 10.2040	117.8458	  1.8091
 18.8045	131.5000	 10.2022	118.2500	  1.8091
 18.8102	131.9958	 10.1893	117.7458	  1.8092
 18.7888	131.7208	 10.1915	118.2250	  1.8088
 18.8045	131.0667	 10.1956	118.0250	  1.8095
 18.8096	131.3750	 10.2056	118.6292	  1.8091
 18.8039	130.9042	 10.2308	118.3625	  1.8097
 18.8083	131.7167	 10.2009	118.2833	  1.8088
 18.8041	131.0833	 10.2005	117.9417	  1.8094
 18.8070	130.9292	 10.1982	118.2208	  1.8085
 18.8129	131.1958	 10.2001	117.6417	  1.8093
 18.8185	131.1042	 10.1982	117.7042	  1.8091
 18.8242	131.2333	 10.2033	117.8375	  1.8094
 18.8193	131.6167	 10.2100	118.0125	  1.8090
 18.7992	131.4708	 10.2064	118.0625	  1.8090
 18.8057	131.5958	 10.2066	118.3417	  1.8097
 18.8180	130.8625	 10.2071	117.9042	  1.8089
 18.8127	131.2625	 10.2086	118.3333	  1.8094
 18.8116	131.8583	 10.2058	117.9000	  1.8094
 18.7967	131.4417	 10.1946	118.3708	  1.8088
 18.8118	131.5667	 10.1924	118.0583	  1.8093
 18.8175	131.5208	 10.1896	117.9750	  1.8090
 18.8291	131.8208	 10.2045	118.3083	  1.8091
 18.8098	131.2500	 10.2172	118.5000	  1.8093
 18.8026	131.9042	 10.2076	117.7875	  1.8088
 18.8040	132.3750	 10.2000	117.5500	  1.8088
 18.8095	131.4167	 10.2011	116.8583	  1.8093
 18.8194	131.4333	 10.2121	117.6375	  1.8092
 18.8232	131.3292	 10.1895	117.8792	  1.8094
 18.8050	131.6500	 10.1896	117.9667	  1.8088
 18.7934	131.3750	 10.1981	117.8917	  1.8093
 18.8145	131.4375	 10.2049	118.3458	  1.8092
 18.7951	131.5250	 10.1964	118.1750	  1.8093
 18.8058	131.2125	 10.2056	118.3333	  1.8093
 18.8132	131.6375	 10.1971	117.5958	  1.8089
 18.8126	131.1458	 10.2000	117.6042	  1.8091
 18.8118	131.3833	 10.2147	117.6083	  1.8089
 18.8065	131.7458	 10.1939	118.0750	  1.8090
 18.7945	131.3625	 10.1908	117.9875	  1.8091
 18.8152	131.7458	 10.1959	117.7583	  1.8089
 18.8124	131.0625	 10.2097	118.1625	  1.8095
 18.8037	130.7208	 10.1956	118.2542	  1.8086
 18.8150	131.6542	 10.1898	117.7042	  1.8096
 18.8008	131.2542	 10.2011	117.7833	  1.8089
 18.7974	131.7625	 10.2017	117.8167	  1.8094
 18.8097	131.4917	 10.2076	118.2042	  1.8090
 18.8226	130.8417	 10.1890	117.9292	  1.8092
 18.8158	131.8625	 10.1898	117.6250	  1.8093
 18.7975	131.2667	 10.2012	117.8250	  1.8098
 18.8209	131.1375	 10.2006	117.7958	  1.8093
 18.8267	132.0250	 10.2019	118.4917	  1.8093
 18.8035	131.4417	 10.1974	118.2667	  1.8090
 18.8109	130.9875	 10.1842	118.0125	  1.8089
 18.8050	130.9958	 10.2121	118.3917	  1.8094
 18.8093	131.3708	 10.1999	117.9542	  1.8088
 18.8050	131.4542	 10.2011	118.0500	  1.8090
 18.8288	131.6083	 10.2035	117.9250	  1.8084
 18.7950	131.0792	 10.1956	117.8500	  1.8089
 18.8091	131.1875	 10.1871	118.0875	  1.8091
 18.8269	131.6750	 10.2074	118.0792	  1.8096
 18.8116	131.2750	 10.1917	117.8083	  1.8090
 18.8012	131.6500	 10.2052	118.3333	  1.8096
 18.8180	131.0292	 10.1955	118.2542	  1.8094
 18.8088	131.3875	 10.1898	118.1958	  1.8092
 18.8019	131.5542	 10.2003	117.6750	  1.8091
 18.8106	131.4667	 10.1894	117.4458	  1.8095
 18.8030	131.3125	 10.1965	118.3208	  1.8093
 18.7968	131.5083	 10.1961	118.5875	  1.8091
 18.8005	131.6708	 10.2097	118.1042	  1.8087
 18.8156	131.5417	 10.2066	118.4042	  1.8089
 18.8138	131.2833	 10.2107	118.7250	  1.8094
 18.8169	131.1125	 10.2009	117.5000	  1.8093
 18.7962	131.3167	 10.1927	118.0125	  1.8089
 18.8169	131.4042	 10.2029	118.0333	  1.8090
 18.8126	131.7792	 10.2033	118.3083	  1.8096
 18.8107	131.3042	 10.1986	118.1708	  1.8088
 18.8220	130.8458	 10.2129	117.8958	  1.8091
 18.8206	130.9833	 10.1984	117.7375	  1.8090
 18.8146	131.5625	 10.1924	118.1625	  1.8086
 18.8075	131.4458	 10.1937	117.9917	  1.8088
 18.8065	131.6875	 10.2136	118.2167	  1.8095
 18.8117	131.5417	 10.1979	118.4375	  1.8093
 18.8220	131.6833	 10.2045	118.0542	  1.8095
 18.8269	131.4875	 10.1973	118.1958	  1.8086
 18.8088	131.6583	 10.2028	118.5000	  1.8091
 18.8155	131.1083	 10.2003	117.9667	  1.8092
 18.8210	131.0792	 10.2070	118.3583	  1.8090
 18.8202	131.8250	 10.1879	117.4833	  1.8094
 18.8014	131.4292	 10.1960	117.8667	  1.8090
 18.8277	131.7917	 10.2093	117.3083	  1.8090
 18.8009	131.4750	 10.1958	118.0667	  1.8089
 18.8103	131.2167	 10.1999	118.2750	  1.8091
 18.8182	131.3833	 10.1805	117.8833	  1.8091
 18.8142	131.1958	 10.2029	118.5583	  1.8084
 18.8032	131.6917	 10.2010	118.0667	  1.8088
 18.8117	131.7583	 10.1988	117.8750	  1.8087
 18.8254	131.3625	 10.2018	118.1000	  1.8085
 18.8097	131.5375	 10.2099	117.7542	  1.8094
 18.7930	131.4125	 10.2094	117.6833	  1.8091
 18.8048	130.7500	 10.2000	117.7625	  1.8097
 18.8281	131.5500	 10.2185	117.9208	  1.8093
 18.7974	131.5875	 10.2129	117.7958	  1.8090
 18.8246	131.7583	 10.2034	118.1000	  1.8095
 18.8126	130.9792	 10.2012	117.8292	  1.8091
 18.8045	131.0708	 10.1962	118.1667	  1.8091
 18.8177	131.6875	 10.2081	117.7875	  1.8095
 18.8106	131.3500	 10.1968	118.1167	  1.8099
 18.8070	131.6250	 10.1787	117.9292	  1.8094
 18.8010	131.3917	 10.2095	118.3417	  1.8092
 18.8031	131.4083	 10.1935	118.2000	  1.8091
 18.8104	131.3833	 10.2041	118.2542	  1.8092
 18.8235	131.6250	 10.2159	117.9042	  1.8091
 18.8276	131.2333	 10.2064	117.6292	  1.8084
 18.8070	131.5625	 10.2184	117.5708	  1.8085
 18.7988	130.9167	 10.2046	118.4375	  1.8090
 18.8084	131.3625	 10.2167	117.8958	  1.8087
