P8010116.442721
GADANKI 01/01/1980 16:43:27 01/01/1980 16:44:27 0350 0079.2 0013.4 00
0000000 0020 0001200 0020 05
1 0 2 02000 1 0000 0030 00532.o 0 0 00 000 14 001200 0.100 BT0
1 1 2 02000 1 0000 0030 00532.o 0 0 00 000 00 001200 0.0000 BC0
1 0 2 02000 1 0000 0030 00532.p 0 0 00 000 14 001200 0.100 BT1
1 1 2 02000 1 0000 0030 00532.p 0 0 00 000 00 001200 0.0000 BC1
1 0 2 02000 1 0000 0030 01064.o 0 0 00 000 14 001200 0.100 BT2
532.000 .o analog 0 	532.000 .o photon 0 	532.000 .p analog 1 	532.000 .p photon 1 	1064.000 .o analog 2 
 19.5427	112.1125	  9.6813	 93.7292	  1.8082
 21.1037	148.6250	 10.9913	128.5000	  1.8095
 98.3798	145.3875	 71.7910	127.2458	  1.8091
 99.9751	142.1625	 40.5834	125.0958	  1.8089
 92.7496	140.0958	 33.2477	124.2958	  1.8083
 65.9172	137.8833	 25.0911	123.9917	  1.8086
 49.3577	136.3500	 19.7591	122.5750	  1.8092
 39.9214	135.2375	 16.6851	121.5667	  1.8089
 34.2644	134.3417	 14.8437	121.8875	  1.8091
 30.5023	133.6250	 13.5593	122.0792	  1.8088
 27.8817	133.3250	 12.6436	121.0125	  1.8088
 26.0637	133.6333	 12.0139	120.4792	  1.8086
 24.7259	132.3458	 11.5638	120.2417	  1.8090
 23.7487	132.5792	 11.2098	120.0833	  1.8091
 22.9524	133.1083	 10.9103	120.3375	  1.8091
 22.3897	132.5875	 10.7128	119.8792	  1.8097
 21.9440	131.8333	 10.5792	119.0875	  1.8089
 21.5591	131.6625	 10.4311	119.6667	  1.8088
 21.2868	132.5125	 10.3243	119.4375	  1.8086
 21.0337	131.7958	 10.2221	119.4333	  1.8089
 20.8448	131.3667	 10.1530	119.6208	  1.8092
 20.6894	131.9708	 10.0977	119.6458	  1.8089
 20.5570	131.3875	 10.0552	119.4167	  1.8094
 20.3990	131.6583	  9.9757	119.5583	  1.8088
 20.3048	131.6208	  9.9713	118.7125	  1.8089
 20.2299	131.9125	  9.9271	119.7833	  1.8089
 20.1716	131.4750	  9.8797	119.3833	  1.8093
 20.1012	131.5458	  9.8765	119.0083	  1.8089
 20.0487	131.7292	  9.8737	119.5500	  1.8095
 19.9742	130.9375	  9.8247	118.8833	  1.8092
 19.9190	131.3667	  9.8072	119.0417	  1.8089
 19.8838	131.3083	  9.8124	118.9667	  1.8092
 19.8675	131.3625	  9.7754	119.0375	  1.8090
 19.8114	131.4167	  9.7695	119.4292	  1.8095
 19.7953	131.2167	  9.7546	118.9500	  1.8088
 19.7564	131.4167	  9.7454	118.8333	  1.8094
 19.7338	130.9958	  9.7373	118.9458	  1.8092
 19.7103	130.9042	  9.7151	118.7333	  1.8096
 19.6603	131.0250	  9.6762	118.8750	  1.8092
 19.6575	132.1333	  9.6994	118.6250	  1.8091
 19.6183	131.4375	  9.7022	118.5833	  1.8088
 19.5974	131.4750	  9.6694	118.8917	  1.8092
 19.5950	131.7500	  9.6659	119.9000	  1.8088
 19.5797	131.5250	  9.6787	119.2125	  1.8087
 19.5738	131.4375	  9.6671	118.9583	  1.8091
 19.5526	132.0958	  9.6751	119.3167	  1.8097
 19.5483	131.7042	  9.6648	119.4792	  1.8096
 19.5495	131.6708	  9.6480	119.2333	  1.8097
 19.5555	131.2708	  9.6626	118.8125	  1.8086
 19.5471	131.1625	  9.6696	118.4333	  1.8088
 19.5426	131.3542	  9.6703	118.3125	  1.8086
 19.5280	131.4125	  9.6627	119.2042	  1.8091
 19.5364	131.2875	  9.6684	118.6292	  1.8093
